title,date,desc,link
Gemini 3 Flash: frontier intelligence built for speed,1 hour ago,"Gemini 3 Flash is our latest model with frontier intelligence built for speed that helps everyone learn, build, and plan anything — faster.",https://blog.google/products/gemini/gemini-3-flash/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgFEAI&usg=AOvVaw0pwUJCDog0N7RzHGzpGPdu
Google reveals Gemini 3 Flash to speed up AI search and beefs up image generation,1 hour ago,"Google has just announced a new AI model in the Gemini 3 series, one that is focused on speedy responses. Say hello to Gemini 3 Flash, which is claimed to...",https://www.digitaltrends.com/computing/google-reveals-gemini-3-flash-to-speed-up-ai-search-and-beefs-up-image-generation/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgIEAI&usg=AOvVaw2AlRgVXi8xMprTj3tCB-p7
Gemini 3 Flash comes to the Gemini app,1 hour ago,"Introducing Gemini 3 Flash, a major upgrade to your everyday AI. It delivers next-generation intelligence at lightning speeds.",https://blog.google/products/gemini/gemini-3-flash-gemini-app/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgKEAI&usg=AOvVaw30onaMWATTfYSowQt-EId5
"Google Gemini 3 Flash is fast, cheap and everywhere. Here's what to know",1 hour ago,"Google released its new Gemini 3 Flash model on Wednesday, aiming to strike a decisive blow against OpenAI and other competitors by pushing a faster,...",https://www.axios.com/2025/12/17/google-gemini-3-flash-pro-model&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgDEAI&usg=AOvVaw1yHVSlZtapbKGXk7_hmgSH
Google Says Its New Gemini 3 Flash AI Model Is Better and Faster Than 2.5 Pro,1 hour ago,"Google's new Gemini 3 Flash AI model is built for faster output at a lower cost, and functions as well as previous powerful reasoning models, Google said in...",https://www.cnet.com/tech/services-and-software/google-gemini-3-flash-release/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgGEAI&usg=AOvVaw3JTOCmmffI7WIrTqXb6ljK
Google's Gemini 3 Flash makes a big splash with faster responsiveness and superior reasoning,1 hour ago,Google LLC is building on the successful launch of its all-powerful Gemini 3 Pro large language model with the debut of a more lightweight and streamlined...,https://siliconangle.com/2025/12/17/googles-gemini-3-flash-makes-big-splash-faster-responsiveness-superior-reasoning/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgBEAI&usg=AOvVaw2QTUvvUnApC-ZVPUJw2eDn
"Google releases Gemini 3 Flash, promising improved intelligence and efficiency",1 hour ago,Google's Gemini 3 family is now complete with release of Gemini 3 Flash.,https://arstechnica.com/google/2025/12/google-releases-gemini-3-flash-promising-improved-intelligence-and-efficiency/&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgHEAI&usg=AOvVaw21ejAq4dh7eZRAmqReB1n1
Gemini 3 Flash gets a worldwide launch – and it might just convince me to use Google’s AI Mode,1 hour ago,Gemini 3 Flash is now available worldwide in Google AI Mode; Google claims the AI model lets users search the web without compromising speed compared to...,https://www.techradar.com/ai-platforms-assistants/gemini/google-launches-gemini-3-flash-and-claims-its-as-fast-as-using-traditional-search&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgJEAI&usg=AOvVaw0sveKx6eQ2bd4L5ux4glUN
Google's Gemini 3 Flash model outperforms GPT-5.2 in some benchmarks,1 hour ago,"Almost exactly a month after the debut of Gemini 3 Pro in November, Google has begun rolling out the more efficient Flash version of its latest AI model.",https://www.engadget.com/ai/googles-gemini-3-flash-model-outperforms-gpt-52-in-some-benchmarks-160000000.html&ved=2ahUKEwjKruq6ksWRAxU9W0EAHXTdM604FBDF9AF6BAgEEAI&usg=AOvVaw3hlIzAJPFrL0C7w0D1st3P
Google Releases More Efficient Gemini 3 AI Model Across Products,1 hour ago,"Alphabet Inc.'s Google is rolling out a more efficient and affordable version of its most powerful artificial intelligence model across its products,...",https://www.bloomberg.com/news/articles/2025-12-17/google-releases-more-efficient-gemini-3-ai-model-across-products&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgJEAI&usg=AOvVaw1_6zdUI4Ey_oPWY2nx_2y4
"Google announces Gemini 3 Flash with Pro-level performance, rolling out now",1 hour ago,"Following last month's launch of Gemini 3 Pro, Google today announced Gemini 3 Flash for consumers and developers.",https://9to5google.com/2025/12/17/gemini-3-flash-launch/&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgIEAI&usg=AOvVaw0Psa1lkbvONRI5mfJvyiwZ
"Gemini 3 Flash is here, bringing a ‘huge’ upgrade to the Gemini app",1 hour ago,"Google is launching Gemini 3 Flash, a more efficient version of its flagship AI model. Gemini 3 Flash will replace the default AI model in the Gemini app...",https://www.theverge.com/news/845741/gemini-3-flash-google-ai-mode-launch&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgKEAI&usg=AOvVaw33zu7JlUpw38o5DCOP5iQw
Google’s vibe-coding tool Opal comes to Gemini,2 hours ago,"Google's vibe-coding tool, Opal, is making its way to Gemini. The company on Wednesday said it is integrating the tool, which lets you build AI-powered mini...",https://techcrunch.com/2025/12/17/googles-vibe-coding-tool-opal-comes-to-gemini/&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgEEAI&usg=AOvVaw2wOu0n1TotE6kA3uS6YBCZ
Happy Holidays 2025 Gemini AI Prompts And Images: Best Google Gemini 3 Prompts To Create And Design Personalised Festive Greetings,2 hours ago,Happy Holidays 2025: Use the best Google Gemini 3 AI prompts to create personalised Christmas and New Year greeting images. Design festive visuals easily...,https://www.bombaytimes.com/specials/times-of-little-things/happy-holidays-2025-gemini-ai-prompts-and-images-best-google-gemini-3-prompts-to-create-and-design-personalised-festive-greetings/1765983218191&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgBEAI&usg=AOvVaw1DD7BMRLi88yHUpu4maKT5
Gemini can now build you custom mini apps with this experimental Gem,3 hours ago,"Google is letting users build mini apps within Gemini as part of an experimental Gem, bringing the technology from Opal to more users.",https://www.androidcentral.com/apps-software/ai/gemini-can-now-build-you-custom-mini-apps-with-this-experimental-gem&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgGEAI&usg=AOvVaw0X3aXh9NdVNgKjIsb3dz1L
Google’s Gemini AI Agent CC Revolutionizes Productivity with Gmail and Drive Integration,3 hours ago,"In the fast-evolving world of artificial intelligence, Google has once again pushed boundaries with its latest experimental tool, CC—an AI agent designed to...",https://www.webpronews.com/googles-gemini-ai-agent-cc-revolutionizes-productivity-with-gmail-and-drive-integration/&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgHEAI&usg=AOvVaw1_It3c6rGpl8EJp9c0YC5P
Google Stitch Guide : No-Code to Working App in Minutes With Gemini 3,3 hours ago,"Stitch from Google makes app and web design fast, exporting screens to AI Studio where an AI model builds working features for you.",https://www.geeky-gadgets.com/google-stitch-ai-studio-workflow/&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgFEAI&usg=AOvVaw0EeL4ZkuFYDyWWaSLV5wYf
"ChatGPT, Perplexity, Gemini are top three most-used GenAI tools in India in 2025",3 hours ago,"In 2025, ChatGPT, Perplexity, and Gemini lead India's generative AI tools, while Apple's iOS traffic rises to 10%.",https://www.thehindubusinessline.com/info-tech/chatgpt-perplexity-gemini-are-top-three-most-used-genai-tools-in-india-in-2025/article70407419.ece&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgDEAI&usg=AOvVaw0lfP61cxbN7hQ3hmR3uZ4X
ChatGPT-5.2 Is OpenAI's Answer to Google's Gemini 3 Pro,4 hours ago,"Last Thursday, OpenAI announced ChatGPT-5.2, which offers better performance across the board. It's also the company's strongest model yet for science and...",https://www.cnet.com/tech/services-and-software/chatgpt-5-2-arrives-heres-what-it-means-for-everyday-and-work-users/&ved=2ahUKEwjSmpW8ksWRAxUCQUEAHafBO944HhDF9AF6BAgCEAI&usg=AOvVaw1ItkQqLcosH8tkJ6orsgdR
Google founder Sergey Brin cautions against using Gemini Live while driving,6 hours ago,Gemini Live is designed as a conversational AI system similar to Google Assistant but with more advanced capabilities.,https://www.storyboard18.com/digital/google-founder-sergey-brin-cautions-against-using-gemini-live-while-driving-86073.htm&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgBEAI&usg=AOvVaw11L8RyqmoIdYYenEO79IvC
Gemini for Home falls behind phones in real-world tests,6 hours ago,Google's massive effort to get Gemini on its smart speakers and smart displays is running into a very public hitch. Side-by-side tests reveal the home.,https://www.findarticles.com/gemini-for-home-falls-behind-phones-in-real-world-tests/&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgEEAI&usg=AOvVaw2oPLhAjaB3PVpwZgkE3ILC
"Don’t use Gemini Live while driving, warns Google founder Sergey Brin",6 hours ago,"Google co-founder Sergey Brin has warned users against using Gemini Live while driving, saying the current public version runs on an outdated model.",https://www.moneycontrol.com/technology/don-t-use-gemini-live-while-driving-warns-google-founder-sergey-brin-article-13730296.html&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgKEAI&usg=AOvVaw0xSZnW6JGGHpxhLhyUp9cY
"ChatGPT 5.2 vs Google Gemini 3 : Strengths, Gaps & Best Picks",7 hours ago,"Compare ChatGPT 5.2 versus Gemini 3, where Deep Think Mode meets stronger code quality, so you save time choosing the right tool.",https://www.geeky-gadgets.com/gpt-5-2-vs-gemini-3-comparison/&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgFEAI&usg=AOvVaw3FmOJ5zWAOlD15QIMal-Hb
Google Translate Gets Major Gemini Boost,7 hours ago,"Google upgrades Google Translate with its latest Gemini models, improving AI translation and adding AI live speech translation in headphones.",https://slator.com/google-translate-gets-major-gemini-boost/&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgIEAI&usg=AOvVaw1QDeKd-oqwhrxZW0BNBkDs
Do you use Gemini Live while driving? Google founder says don’t use this ‘ancient model’,8 hours ago,"Google founder Sergey Brin, said that while he personally tests the Gemini Live while commuting, he does not recommend the public to do the same as the...",https://www.firstpost.com/world/do-you-use-gemini-live-while-driving-google-founder-says-dont-use-this-ancient-model-13960617.html&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgHEAI&usg=AOvVaw3xqo3xq63EXnaGslGU3V7s
You Can Now Create Mini Apps Directly With Gemini: Google Integrates Opal Into Gemini Web,8 hours ago,"Google is integrating Opal, an experimental Gem, into Gemini on the web. This allows users to easily create, edit, and remix AI-powered mini apps directly...",https://www.thedailyjagran.com/technology/you-can-now-create-mini-apps-directly-with-gemini-google-integrates-opal-into-gemini-web-10286670&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgCEAI&usg=AOvVaw1ve3kqlgVjePlNOrp6w2HU
"Google brings Opal to Gemini web, lets users build AI-powered mini apps",8 hours ago,"Google is rolling out Opal to the web version of Gemini, allowing users to build and share AI-powered mini apps using natural language and visual editing...",https://indianexpress.com/article/technology/artificial-intelligence/google-gemini-web-opal-ai-vibe-coding-mini-apps-10424757/&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgJEAI&usg=AOvVaw0tLwQLevvASfS6nghuc0u_
ChatGPT Images: OpenAI Releases New Google Challenger,9 hours ago,"OpenAI released a ""red alert"" memo last week as Google Gemini's Nano Banana took a big lead in image generation. Today they released th - JFeed Israel News.",https://www.jfeed.com/tech/chatgpt-image-generation-upgrade&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgGEAI&usg=AOvVaw3lP1OKVdw0skWG4MO1OGWl
Google Gemini’s Deep Research Adds Visual Reports and Charts,9 hours ago,"Deep Research can now scan emails, spreadsheets, and chats for personalized reports while automatically generating custom graphics to match the findings.",https://www.eweek.com/news/gemini-deep-research-adds-visual-reports-charts/&ved=2ahUKEwiogcW9ksWRAxWTUUEAHcpSHUE4KBDF9AF6BAgDEAI&usg=AOvVaw35IAe4kd5jGTXBzfKKA5dV
